epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,2813.03,0.59978,0.3099,0.89976,0.93231,0.82432,0.89825,0.4896,1.5859,0.79872,1.92468,0.000218,0.000218,0.000218
182,2828.52,0.59345,0.30833,0.88869,0.92526,0.8365,0.90035,0.49169,1.56967,0.75267,1.91004,0.0002081,0.0002081,0.0002081
183,2844.75,0.60334,0.30958,0.88969,0.89613,0.84234,0.89172,0.49316,1.55627,0.75316,1.88029,0.0001982,0.0001982,0.0001982
184,2861.78,0.59944,0.30782,0.90065,0.90645,0.8293,0.89357,0.502,1.52799,0.79831,1.85846,0.0001883,0.0001883,0.0001883
185,2878.5,0.5935,0.30669,0.90539,0.91732,0.84957,0.90172,0.48576,1.55485,0.81193,1.86948,0.0001784,0.0001784,0.0001784
186,2893.8,0.60613,0.31879,0.90928,0.90089,0.85983,0.89853,0.50014,1.51808,0.78806,1.86196,0.0001685,0.0001685,0.0001685
187,2908.77,0.58487,0.30951,0.89849,0.89508,0.84543,0.89445,0.48897,1.53412,0.77349,1.87845,0.0001586,0.0001586,0.0001586
188,2924.94,0.59024,0.3017,0.88877,0.9338,0.83784,0.88866,0.48004,1.5334,0.77602,1.87092,0.0001487,0.0001487,0.0001487
189,2941.68,0.58593,0.31016,0.9041,0.91094,0.82929,0.89398,0.49347,1.51528,0.78069,1.85976,0.0001388,0.0001388,0.0001388
190,2957.91,0.57969,0.30296,0.90278,0.9135,0.83784,0.90234,0.48688,1.56684,0.76991,1.90007,0.0001289,0.0001289,0.0001289
191,2974.9,0.53359,0.27503,0.873,0.88649,0.84431,0.90386,0.50108,1.51731,0.77059,1.86601,0.000119,0.000119,0.000119
192,2989.56,0.55139,0.28483,0.88645,0.91318,0.82883,0.90347,0.49685,1.54706,0.80623,1.9005,0.0001091,0.0001091,0.0001091
193,3004.78,0.5196,0.26288,0.87455,0.91036,0.82883,0.89679,0.49695,1.55135,0.82387,1.89863,9.92e-05,9.92e-05,9.92e-05
194,3020.63,0.53803,0.27707,0.86968,0.91879,0.81982,0.90019,0.49812,1.54183,0.82229,1.87465,8.93e-05,8.93e-05,8.93e-05
195,3036.69,0.53202,0.26322,0.88843,0.91884,0.81081,0.90258,0.48927,1.57171,0.81022,1.89996,7.94e-05,7.94e-05,7.94e-05
196,3052.6,0.52851,0.26785,0.86867,0.92468,0.8018,0.90279,0.49057,1.57585,0.82935,1.90044,6.95e-05,6.95e-05,6.95e-05
197,3066.97,0.52891,0.2674,0.87437,0.92003,0.81081,0.89956,0.49499,1.54713,0.81286,1.87343,5.96e-05,5.96e-05,5.96e-05
198,3081.78,0.52294,0.27504,0.87434,0.92516,0.81532,0.90662,0.48916,1.57094,0.8212,1.8948,4.97e-05,4.97e-05,4.97e-05
199,3100.83,0.50205,0.25354,0.87265,0.91971,0.81081,0.90175,0.48388,1.60482,0.82299,1.92615,3.98e-05,3.98e-05,3.98e-05
200,3115.93,0.5087,0.25725,0.86003,0.93812,0.81948,0.90542,0.49106,1.58519,0.80966,1.91623,2.99e-05,2.99e-05,2.99e-05
